Date,Title,Marketplace,Royalty
2026-01-01,Formation Series Vol 1: The Flamebearer,Amazon.com,0.00
2026-01-01,Formation Series Vol 1: The Flamebearer,Amazon.co.uk,0.00
2026-01-01,Formation Series Vol 2: Sacred Systems,Amazon.com,0.00
2026-01-15,Formation Series Vol 1: The Flamebearer,Amazon.com,0.00
2026-01-15,Formation Series Vol 2: Sacred Systems,Amazon.com,0.00
2026-01-15,Formation Series Vol 2: Sacred Systems,Amazon.co.uk,0.00
2026-02-01,Formation Series Vol 1: The Flamebearer,Amazon.com,0.00
2026-02-01,Formation Series Vol 1: The Flamebearer,Amazon.co.uk,0.00
2026-02-01,Formation Series Vol 2: Sacred Systems,Amazon.com,0.00
2026-02-01,Formation Series Vol 2: Sacred Systems,Amazon.de,0.00
2026-02-15,Formation Series Vol 1: The Flamebearer,Amazon.com,0.00
2026-02-15,Formation Series Vol 2: Sacred Systems,Amazon.com,0.00
